0,0.001,-1,0,-1,0.0476,0.0172,0,0,0,0,0,0.006,0,0,0,0,0.0086,0.0063,0,0,-1,0,0.0054,0,-1,0,0,0,-1,0
0,0.0005,0,0,0,0,0,0.0032,0,0,0,0,0.0165,-1,-1,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,-1,1
0,-1,0,0,0,0,-1,0,0,0.0042,0,0,0.0179,0.0106,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0.0042,1
0,0,0,0.0089,0,0.0158,0,0,0,0,0,0,0.0128,0,0,0,0,0.0103,0,0,0.0021,0,0,0,0,0,0,0,0,0,1
-1,-1,0,-1,0.0168,0.0134,0,0.005,0.0033,0,0.0168,0,0.0068,0,-1,0,0,0.0068,-1,-1,0,0.0016,0,0.008,0,0,-1,-1,0.0016,-1,1
0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0
0,0,0,0.0082,0,0.0066,0,0,0,0,-1,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,0,0.0904,0,0,-1,-1,0.0027,1
-1,0,0,0.025,-1,0,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0,1
-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0163,-1,0,0,0.0051,0,0,0,0,0,0,0,0,0,-1,0.0128,0.0025,0
0,-1,0,0.0028,0,-1,0.0073,0,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,-1,0.0051,-1,0
-1,0,0.0087,0,0,0,0.0087,0,0,0,0,-1,0.0046,-1,0.0087,0,0,0,0,-1,0,0.0087,-1,0,0,0,-1,0,0,-1,0
0.005,-1,0.005,-1,0,0,0.005,0,0,0,0,0,0.0166,0,0.005,0,0,0.0077,-1,0,-1,-1,0,0.0069,0,0,0.005,0,-1,0,0
0,0.0035,-1,0,0,0,-1,0,0,-1,0,0,0.0429,0.0135,0,0.0022,0,0.0018,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,0,0,0,0,-1,0,0,0,0.0114,-1,0,0.0283,0.0163,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.0114,0.0114,1
0,-1,0,0,0,0,0,0,0,0,0,0,0.0571,0,0,0,0,0,0,0,0,0,0,0.0027,0,0,0,-1,0,0,0
0,0,0,0,0,-1,0,0.0128,0,0.0128,0,0,-1,-1,-1,-1,0.0128,0.0129,-1,0,0,-1,-1,0,0,0,0,-1,0,-1,0
-1,0,0.0084,-1,0.0084,0,-1,0,0,-1,0,-1,-1,0,0,0,0.0169,0.0118,0,0,0,0,0,0,-1,0,0,0,-1,0,0
-1,0,0,0,0,0,0,0.0064,0,-1,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0207,0,-1,0,0,0,0,-1,0,0,0,0.0131,-1,-1,-1,0,-1,0,0,0,-1,0.0196,0.0042,0,0,0,0,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0.0105,0,0,0,0,-1,1
0,0,0.002,0.008,0,0,0,0.001,-1,0.002,0.002,0,0,0,0,0,0,0.0066,0.0019,0.001,0,0,-1,0,0,-1,0,0.0161,0.008,0.0101,1
-1,0,0,0,0,0,-1,0,0,0.0068,0,0,0.0387,0.0005,-1,-1,0,0,0,0.0172,-1,0.0034,0,0,0,0,0,0,0,-1,0
0.0065,0.0053,0.0065,0.0131,0,0,0,0.0065,-1,0,0,0,0.0087,0,-1,0,0,-1,-1,0,0,0.0065,-1,-1,0,0,0.0065,0,0,0,0
0,-1,0.0064,0.0064,0,0,0.0128,-1,0,0.0128,0,-1,-1,0.04,0.0064,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0
0,0,0.0017,0.0085,0.0008,0,0,0.0008,0.0025,0.0008,0.0017,-1,0.0272,0.0073,0,0,0,-1,-1,-1,0,0.0008,0.0008,0,0,-1,-1,0.0221,0.0059,0.0076,1
0,0,-1,0,0,0,0,-1,0,0,0,0,0.0028,-1,0,0,0,0.0018,0,-1,-1,-1,0,0,0,-1,0,0,-1,-1,0
-1,0.0082,-1,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0.0027,0,0,0,0,-1,-1,0,0,-1,0,0,0.0196,0
-1,0,0,0,0,0.0185,0,0,-1,0,0,0,0.0301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1
0,0,0,-1,-1,0,-1,-1,-1,0.0041,-1,0,-1,0,-1,0,-1,-1,-1,0.0005,-1,0,0,0,0,0,0,0,0.0011,0.0053,1
0.0048,0.0178,0,0,0.0048,0,0.0048,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0.0048,0
0,0,-1,-1,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0.0047,0,0,-1,0,0,0,-1,0,0,0,0,0.0058,1
-1,0,0,-1,0,0,0,-1,-1,0,0,0,0.0333,0,0,0,0,0.0043,0.0042,0,0,-1,0,-1,0,0.0023,0,0,0,0,0
0.0051,0,0,0.0025,0,0,0,0.0025,0,0,0,0,0.0347,0,-1,0,0,0.0094,-1,0,0,-1,0,-1,0,0,0.0025,-1,0,0.0178,0
0,0,0,-1,-1,0,0,0,-1,0,0,-1,0.0128,0.0005,0,0,0,-1,0,-1,0,0,0,0.0056,0,-1,0.0052,0,0,-1,0
0,0,0,0.05,-1,0,0,0,-1,0,0,0,0.0051,-1,0,0,0,0.0149,0.003,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1,0.0073,0,0,-1,0,0,0,0,0,-1,-1,-1,0.0033,0,0,0,0.0036,0,-1,0,0.0027,0,0,0,0,-1,-1,0
